id;province_id;name;code
1;1;Kabupaten Aceh Selatan;11.01
2;1;Kabupaten Aceh Tenggara;11.02
3;1;Kabupaten Aceh Timur;11.03
4;1;Kabupaten Aceh Tengah;11.04
5;1;Kabupaten Aceh Barat;11.05
6;1;Kabupaten Aceh Besar;11.06
7;1;Kabupaten Pidie;11.07
8;1;Kabupaten Aceh Utara;11.08
9;1;Kabupaten Simeulue;11.09
10;1;Kabupaten Aceh Singkil;11.10
11;1;Kabupaten Bireuen;11.11
12;1;Kabupaten Aceh Barat Daya;11.12
13;1;Kabupaten Gayo Lues;11.13
14;1;Kabupaten Aceh Jaya;11.14
15;1;Kabupaten Nagan Raya;11.15
16;1;Kabupaten Aceh Tamiang;11.16
17;1;Kabupaten Bener Meriah;11.17
18;1;Kabupaten Pidie Jaya;11.18
19;1;Kota Banda Aceh;11.71
20;1;Kota Sabang;11.72
21;1;Kota Lhokseumawe;11.73
22;1;Kota Langsa;11.74
23;1;Kota Subulussalam;11.75
24;2;Kabupaten Tapanuli Tengah;12.01
25;2;Kabupaten Tapanuli Utara;12.02
26;2;Kabupaten Tapanuli Selatan;12.03
27;2;Kabupaten Nias;12.04
28;2;Kabupaten Langkat;12.05
29;2;Kabupaten Karo;12.06
30;2;Kabupaten Deli Serdang;12.07
31;2;Kabupaten Simalungun;12.08
32;2;Kabupaten Asahan;12.09
33;2;Kabupaten Labuhanbatu;12.10
34;2;Kabupaten Dairi;12.11
35;2;Kabupaten Toba;12.12
36;2;Kabupaten Mandailing Natal;12.13
37;2;Kabupaten Nias Selatan;12.14
38;2;Kabupaten Pakpak Bharat;12.15
39;2;Kabupaten Humbang Hasundutan;12.16
40;2;Kabupaten Samosir;12.17
41;2;Kabupaten Serdang Bedagai;12.18
42;2;Kabupaten Batu Bara;12.19
43;2;Kabupaten Padang Lawas Utara;12.20
44;2;Kabupaten Padang Lawas;12.21
45;2;Kabupaten Labuhanbatu Selatan;12.22
46;2;Kabupaten Labuhanbatu Utara;12.23
47;2;Kabupaten Nias Utara;12.24
48;2;Kabupaten Nias Barat;12.25
49;2;Kota Medan;12.71
50;2;Kota Pematangsiantar;12.72
51;2;Kota Sibolga;12.73
52;2;Kota Tanjung Balai;12.74
53;2;Kota Binjai;12.75
54;2;Kota Tebing Tinggi;12.76
55;2;Kota Padangsidimpuan;12.77
56;2;Kota Gunungsitoli;12.78
57;3;Kabupaten Pesisir Selatan;13.01
58;3;Kabupaten Solok;13.02
59;3;Kabupaten Sijunjung;13.03
60;3;Kabupaten Tanah Datar;13.04
61;3;Kabupaten Padang Pariaman;13.05
62;3;Kabupaten Agam;13.06
63;3;Kabupaten Lima Puluh Kota;13.07
64;3;Kabupaten Pasaman;13.08
65;3;Kabupaten Kepulauan Mentawai;13.09
66;3;Kabupaten Dharmasraya;13.10
67;3;Kabupaten Solok Selatan;13.11
68;3;Kabupaten Pasaman Barat;13.12
69;3;Kota Padang;13.71
70;3;Kota Solok;13.72
71;3;Kota Sawahlunto;13.73
72;3;Kota Padang Panjang;13.74
73;3;Kota Bukittinggi;13.75
74;3;Kota Payakumbuh;13.76
75;3;Kota Pariaman;13.77
76;4;Kabupaten Kampar;14.01
77;4;Kabupaten Indragiri Hulu;14.02
78;4;Kabupaten Bengkalis;14.03
79;4;Kabupaten Indragiri Hilir;14.04
80;4;Kabupaten Pelalawan;14.05
81;4;Kabupaten Rokan Hulu;14.06
82;4;Kabupaten Rokan Hilir;14.07
83;4;Kabupaten Siak;14.08
84;4;Kabupaten Kuantan Singingi;14.09
85;4;Kabupaten Kepulauan Meranti;14.10
86;4;Kota Pekanbaru;14.71
87;4;Kota Dumai;14.72
88;5;Kabupaten Kerinci;15.01
89;5;Kabupaten Merangin;15.02
90;5;Kabupaten Sarolangun;15.03
91;5;Kabupaten Batanghari;15.04
92;5;Kabupaten Muaro Jambi;15.05
93;5;Kabupaten Tanjung Jabung Barat;15.06
94;5;Kabupaten Tanjung Jabung Timur;15.07
95;5;Kabupaten Bungo;15.08
96;5;Kabupaten Tebo;15.09
97;5;Kota Jambi;15.71
98;5;Kota Sungai Penuh;15.72
99;6;Kabupaten Ogan Komering Ulu;16.01
100;6;Kabupaten Ogan Komering Ilir;16.02
101;6;Kabupaten Muara Enim;16.03
102;6;Kabupaten Lahat;16.04
103;6;Kabupaten Musi Rawas;16.05
104;6;Kabupaten Musi Banyuasin;16.06
105;6;Kabupaten Banyuasin;16.07
106;6;Kabupaten Ogan Komering Ulu Timur;16.08
107;6;Kabupaten Ogan Komering Ulu Selatan;16.09
108;6;Kabupaten Ogan Ilir;16.10
109;6;Kabupaten Empat Lawang;16.11
110;6;Kabupaten Penukal Abab Lematang Ilir;16.12
111;6;Kabupaten Musi Rawas Utara;16.13
112;6;Kota Palembang;16.71
113;6;Kota Pagar Alam;16.72
114;6;Kota Lubuk Linggau;16.73
115;6;Kota Prabumulih;16.74
116;7;Kabupaten Bengkulu Selatan;17.01
117;7;Kabupaten Rejang Lebong;17.02
118;7;Kabupaten Bengkulu Utara;17.03
119;7;Kabupaten Kaur;17.04
120;7;Kabupaten Seluma;17.05
121;7;Kabupaten Muko Muko;17.06
122;7;Kabupaten Lebong;17.07
123;7;Kabupaten Kepahiang;17.08
124;7;Kabupaten Bengkulu Tengah;17.09
125;7;Kota Bengkulu;17.71
126;8;Kabupaten Lampung Selatan;18.01
127;8;Kabupaten Lampung Tengah;18.02
128;8;Kabupaten Lampung Utara;18.03
129;8;Kabupaten Lampung Barat;18.04
130;8;Kabupaten Tulang Bawang;18.05
131;8;Kabupaten Tanggamus;18.06
132;8;Kabupaten Lampung Timur;18.07
133;8;Kabupaten Way Kanan;18.08
134;8;Kabupaten Pesawaran;18.09
135;8;Kabupaten Pringsewu;18.10
136;8;Kabupaten Mesuji;18.11
137;8;Kabupaten Tulang Bawang Barat;18.12
138;8;Kabupaten Pesisir Barat;18.13
139;8;Kota Bandar Lampung;18.71
140;8;Kota Metro;18.72
141;9;Kabupaten Bangka;19.01
142;9;Kabupaten Belitung;19.02
143;9;Kabupaten Bangka Selatan;19.03
144;9;Kabupaten Bangka Tengah;19.04
145;9;Kabupaten Bangka Barat;19.05
146;9;Kabupaten Belitung Timur;19.06
147;9;Kota Pangkal Pinang;19.71
148;10;Kabupaten Bintan;21.01
149;10;Kabupaten Karimun;21.02
150;10;Kabupaten Natuna;21.03
151;10;Kabupaten Lingga;21.04
152;10;Kabupaten Kepulauan Anambas;21.05
153;10;Kota Batam;21.71
154;10;Kota Tanjung Pinang;21.72
155;11;Kabupaten Kepulauan Seribu;31.01
156;11;Kota Jakarta Pusat;31.71
157;11;Kota Jakarta Utara;31.72
158;11;Kota Jakarta Barat;31.73
159;11;Kota Jakarta Selatan;31.74
160;11;Kota Jakarta Timur;31.75
161;12;Kabupaten Bogor;32.01
162;12;Kabupaten Sukabumi;32.02
163;12;Kabupaten Cianjur;32.03
164;12;Kabupaten Bandung;32.04
165;12;Kabupaten Garut;32.05
166;12;Kabupaten Tasikmalaya;32.06
167;12;Kabupaten Ciamis;32.07
168;12;Kabupaten Kuningan;32.08
169;12;Kabupaten Cirebon;32.09
170;12;Kabupaten Majalengka;32.10
171;12;Kabupaten Sumedang;32.11
172;12;Kabupaten Indramayu;32.12
173;12;Kabupaten Subang;32.13
174;12;Kabupaten Purwakarta;32.14
175;12;Kabupaten Karawang;32.15
176;12;Kabupaten Bekasi;32.16
177;12;Kabupaten Bandung Barat;32.17
178;12;Kabupaten Pangandaran;32.18
179;12;Kota Bogor;32.71
180;12;Kota Sukabumi;32.72
181;12;Kota Bandung;32.73
182;12;Kota Cirebon;32.74
183;12;Kota Bekasi;32.75
184;12;Kota Depok;32.76
185;12;Kota Cimahi;32.77
186;12;Kota Tasikmalaya;32.78
187;12;Kota Banjar;32.79
188;13;Kabupaten Cilacap;33.01
189;13;Kabupaten Banyumas;33.02
190;13;Kabupaten Purbalingga;33.03
191;13;Kabupaten Banjarnegara;33.04
192;13;Kabupaten Kebumen;33.05
193;13;Kabupaten Purworejo;33.06
194;13;Kabupaten Wonosobo;33.07
195;13;Kabupaten Magelang;33.08
196;13;Kabupaten Boyolali;33.09
197;13;Kabupaten Klaten;33.10
198;13;Kabupaten Sukoharjo;33.11
199;13;Kabupaten Wonogiri;33.12
200;13;Kabupaten Karanganyar;33.13
201;13;Kabupaten Sragen;33.14
202;13;Kabupaten Grobogan;33.15
203;13;Kabupaten Blora;33.16
204;13;Kabupaten Rembang;33.17
205;13;Kabupaten Pati;33.18
206;13;Kabupaten Kudus;33.19
207;13;Kabupaten Jepara;33.20
208;13;Kabupaten Demak;33.21
209;13;Kabupaten Semarang;33.22
210;13;Kabupaten Temanggung;33.23
211;13;Kabupaten Kendal;33.24
212;13;Kabupaten Batang;33.25
213;13;Kabupaten Pekalongan;33.26
214;13;Kabupaten Pemalang;33.27
215;13;Kabupaten Tegal;33.28
216;13;Kabupaten Brebes;33.29
217;13;Kota Magelang;33.71
218;13;Kota Surakarta;33.72
219;13;Kota Salatiga;33.73
220;13;Kota Semarang;33.74
221;13;Kota Pekalongan;33.75
222;13;Kota Tegal;33.76
223;14;Kabupaten Kulon Progo;34.01
224;14;Kabupaten Bantul;34.02
225;14;Kabupaten Gunungkidul;34.03
226;14;Kabupaten Sleman;34.04
227;14;Kota Yogyakarta;34.71
228;15;Kabupaten Pacitan;35.01
