id;city_id;name;code
1;1;Bakongan;11.01.01
2;1;Kluet Utara;11.01.02
3;1;Kluet Selatan;11.01.03
4;1;Labuhan Haji;11.01.04
5;1;Meukek;11.01.05
6;1;Samadua (Sama Dua);11.01.06
7;1;Sawang;11.01.07
8;1;Tapaktuan (Tapak Tuan);11.01.08
9;1;Trumon;11.01.09
10;1;Pasi Raja (Pasie Raja);11.01.10
11;1;Labuhan Haji Timur;11.01.11
12;1;Labuhan Haji Barat;11.01.12
13;1;Kluet Tengah;11.01.13
14;1;Kluet Timur;11.01.14
15;1;Bakongan Timur;11.01.15
16;1;Trumon Timur;11.01.16
17;1;Kota Bahagia;11.01.17
18;1;Trumon Tengah;11.01.18
19;2;Lawe Alas;11.02.01
20;2;Lawe Sigala Gala;11.02.02
21;2;Bambel;11.02.03
22;2;Babussalam;11.02.04
23;2;Badar;11.02.05
24;2;Babul Makmur;11.02.06
25;2;Darul Hasanah;11.02.07
26;2;Lawe Bulan;11.02.08
27;2;Bukit Tusam;11.02.09
28;2;Semadam;11.02.10
29;2;Babul Rahmah;11.02.11
30;2;Ketambe;11.02.12
31;2;Deleng Pokhkisen (Deleng Pokhisen);11.02.13
32;2;Lawe Sumur;11.02.14
33;2;Tanoh Alas (Tanah Alas);11.02.15
34;2;Leuser;11.02.16
35;3;Darul Aman;11.03.01
36;3;Julok;11.03.02
37;3;Idi Rayeuk;11.03.03
38;3;Birem Bayeun;11.03.04
39;3;Serbajadi;11.03.05
40;3;Nurussalam;11.03.06
41;3;Peureulak;11.03.07
42;3;Rantau Selamat;11.03.08
43;3;Simpang Ulim;11.03.09
44;3;Rantau Peureulak (Ranto Peureulak);11.03.10
45;3;Pante Bidari;11.03.11
46;3;Madat;11.03.12
47;3;Indra Makmu (Indra Makmur);11.03.13
48;3;Idi Tunong;11.03.14
49;3;Banda Alam;11.03.15
50;3;Peudawa;11.03.16
51;3;Peureulak Timur;11.03.17
52;3;Peureulak Barat;11.03.18
53;3;Sungai Raya;11.03.19
54;3;Simpang Jernih;11.03.20
55;3;Darul Ihsan (Iksan);11.03.21
56;3;Darul Falah;11.03.22
57;3;Idi Timur;11.03.23
58;3;Peunaron;11.03.24
59;4;Linge;11.04.01
60;4;Silih Nara;11.04.02
61;4;Bebesen;11.04.03
62;4;Pegasing;11.04.07
63;4;Bintang;11.04.08
64;4;Ketol;11.04.10
65;4;Kebayakan;11.04.11
66;4;Kute Panang;11.04.12
67;4;Celala;11.04.13
68;4;Laut Tawar (Lut Tawar);11.04.17
69;4;Atu Lintang;11.04.18
70;4;Jagong Jeget;11.04.19
71;4;Bies;11.04.20
72;4;Rusip Antara;11.04.21
73;5;Johan Pahwalan (Johan Pahlawan);11.05.01
74;5;Kaway XVI;11.05.02
75;5;Sungai Mas;11.05.03
76;5;Woyla;11.05.04
77;5;Samatiga;11.05.05
78;5;Bubon;11.05.06
79;5;Arongan Lambalek;11.05.07
80;5;Pante Ceureumen (Pantai Ceuremen);11.05.08
81;5;Meureubo;11.05.09
82;5;Woyla Barat;11.05.10
83;5;Woyla Timur;11.05.11
84;5;Panton Reu;11.05.12
85;6;Lhoong;11.06.01
86;6;Lhoknga (Lho'nga);11.06.02
87;6;Indrapuri;11.06.03
88;6;Seulimeum;11.06.04
89;6;Montasik (Mantasiek);11.06.05
90;6;Sukamakmur (Suka Makmur);11.06.06
91;6;Darul Imarah;11.06.07
92;6;Peukan Bada;11.06.08
93;6;Mesjid Raya;11.06.09
94;6;Ingin Jaya;11.06.10
95;6;Kuta Baro;11.06.11
96;6;Darussalam;11.06.12
97;6;Pulo Aceh;11.06.13
98;6;Lembah Seulawah;11.06.14
99;6;Kota Jantho;11.06.15
100;6;Kuta Cot Glie (Kota Cot Glie);11.06.16
101;6;Kuta Malaka (Kota Malaka);11.06.17
102;6;Simpang Tiga;11.06.18
103;6;Darul Kamal;11.06.19
104;6;Baitussalam;11.06.20
105;6;Krueng Barona Jaya;11.06.21
106;6;Leupung;11.06.22
107;6;Blang Bintang (Blank Bintang);11.06.23
108;7;Batee;11.07.03
109;7;Delima;11.07.04
110;7;Geumpang;11.07.05
111;7;Glumpang Tiga (Geulumpang Tiga);11.07.06
112;7;Indrajaya (Indra Jaya);11.07.07
113;7;Kembang Tanjong;11.07.08
114;7;Kota Sigli;11.07.09
115;7;Mila;11.07.11
116;7;Muara Tiga;11.07.12
117;7;Mutiara;11.07.13
118;7;Padang Tiji;11.07.14
119;7;Peukan Baro;11.07.15
120;7;Pidie;11.07.16
121;7;Sakti;11.07.17
122;7;Simpang Tiga;11.07.18
123;7;Tangse;11.07.19
124;7;Tiro/Truseb;11.07.21
125;7;Keumala;11.07.22
126;7;Mutiara Timur;11.07.24
127;7;Grong Grong;11.07.25
128;7;Mane;11.07.27
