id;district_id;name;postal_code;code
1;1;Keude Bakongan;23773;11.01.01.2001
2;1;Ujong Mangki (Ujung Mangki);23773;11.01.01.2002
3;1;Ujong Padang (Ujung Padang);23773;11.01.01.2003
4;1;Gampong Drien (Kampung Drien);23773;11.01.01.2004
5;1;Darul Ikhsan;23773;11.01.01.2015
6;1;Padang Beurahan (Padang Berahan);23773;11.01.01.2016
7;1;Gampong Baro (Kampung Baru);23773;11.01.01.2017
8;2;Fajar Harapan;23771;11.01.02.2001
9;2;Krueng Batee;23771;11.01.02.2002
10;2;Pasi Kuala Asahan;23771;11.01.02.2003
11;2;Gunung Pulo (Gunong Pulo);23771;11.01.02.2004
12;2;Pulo Ie I;23771;11.01.02.2005
13;2;Jambo Manyang;23771;11.01.02.2006
14;2;Simpang Empat;23771;11.01.02.2007
15;2;Limau Purut (Kota Fajar);23771;11.01.02.2008
16;2;Pulo Kambing;23771;11.01.02.2009
17;2;Kampung Paya;23771;11.01.02.2010
18;2;Krueng Batu;23771;11.01.02.2011
19;2;Krueng Kluet;23771;11.01.02.2012
20;2;Alur Mas;23771;11.01.02.2013
21;2;Kampung Tinggi;23771;11.01.02.2014
22;2;Ruak (Kampung Ruak);23771;11.01.02.2015
23;2;Simpang Lhee;23771;11.01.02.2016
24;2;Suaq Geuringgeng (Geringgeng);23771;11.01.02.2017
25;2;Pasi Kuala Ba'u (Pasi Kuala Bau);23771;11.01.02.2018
26;2;Kedai Padang;23771;11.01.02.2019
27;2;Kotafajar;23771;11.01.02.2020
28;2;Gunung Pudung;23771;11.01.02.2021
29;3;Suaq Bakung (Suaq Bakong);23772;11.01.03.2001
30;3;Rantau Binuang;23772;11.01.03.2002
31;3;Barat Daya;23772;11.01.03.2003
32;3;Sialang;23772;11.01.03.2004
33;3;Kapeh;23772;11.01.03.2005
34;3;Pulo Ie;23772;11.01.03.2006
35;3;Kedai Runding;23772;11.01.03.2007
36;3;Kedai Kandang;23772;11.01.03.2008
37;3;Luar (Gampong Luar);23772;11.01.03.2009
